Date,Open,High,Low,Close,Volume,OpenInterest,sma
2019-10-10,1725.0,1738.29,1713.75,1720.56,4696935,0.0,1784.7542000000008
2019-10-11,1742.92,1745.45,1729.86,1729.98,5936898,0.0,1782.2472000000007
2019-10-14,1729.0,1741.8887,1722.0,1736.5,3497382,0.0,1780.5068000000006
2019-10-15,1742.14,1776.45,1740.62,1767.35,5739023,0.0,1780.5512000000006
2019-10-16,1772.0,1786.24,1770.521,1777.42,4891217,0.0,1780.3508000000004
2019-10-17,1796.0,1798.85,1782.02,1787.47,4695257,0.0,1780.2324000000006
2019-10-18,1787.8,1793.98,1749.2001,1757.79,6127556,0.0,1778.7030000000004
2019-10-21,1768.63,1785.88,1765.0,1785.835,1771449,0.0,1778.2621000000006
2019-10-22,1788.15,1789.7799,1762.0,1765.34,1925469,0.0,1777.8739000000005
2019-10-23,1761.3,1770.05,1742.0,1761.99,1920970,0.0,1776.6279000000006
2019-10-24,1771.09,1788.3379,1760.27,1781.5935,2959729,0.0,1777.0005700000006
2019-10-25,1697.55,1764.21,1695.0,1762.0,8773821,0.0,1776.7323700000006
2019-10-28,1750.7,1778.7,1742.5,1777.04,3380226,0.0,1776.4371700000004
2019-10-29,1775.0,1777.0,1755.81,1763.04,2063458,0.0,1775.36137
2019-10-30,1760.24,1782.38,1759.115,1780.0,2194972,0.0,1774.93437
2019-10-31,1775.99,1792.0,1771.4753,1777.1431,2328559,0.0,1774.009632
2019-11-01,1788.01,1797.445,1785.21,1791.47,2447782,0.0,1773.754032
2019-11-04,1801.5,1815.06,1801.01,1805.27,2513437,0.0,1774.844032
2019-11-05,1809.16,1810.25,1794.0,1801.7,1650756,0.0,1775.478032
2019-11-06,1801.0,1802.5,1788.58,1795.94,1790400,0.0,1776.158432
2019-11-07,1803.76,1805.9,1783.48,1788.2,2365870,0.0,1776.6424319999999
2019-11-08,1787.89,1789.88,1774.04,1785.88,1930135,0.0,1776.6308319999998
2019-11-11,1778.1,1780.0,1767.13,1771.9,1776035,0.0,1776.5450319999998
2019-11-12,1774.66,1786.22,1771.91,1778.23,1830806,0.0,1776.3194319999998
2019-11-13,1773.39,1775.0,1747.3217,1753.4,2777022,0.0,1775.3782319999996
2019-11-14,1750.27,1766.5931,1749.56,1754.65,2017087,0.0,1773.6566319999995
2019-11-15,1760.05,1761.68,1732.86,1739.08,3623321,0.0,1771.7680319999997
2019-11-18,1738.3,1753.7,1722.71,1752.86,2585138,0.0,1770.199432
2019-11-19,1756.99,1760.68,1743.03,1753.16,1854190,0.0,1768.8364319999998
2019-11-20,1749.14,1762.524,1734.12,1746.6335,2321723,0.0,1767.3193019999997
2019-11-21,1743.0,1746.87,1730.36,1735.0,2377252,0.0,1765.1593019999998
2019-11-22,1739.98,1746.43,1731.0,1745.85,2049213,0.0,1763.2895019999999
2019-11-25,1753.25,1777.42,1753.24,1773.69,2906729,0.0,1762.598702
2019-11-26,1780.53,1797.03,1778.575,1796.99,2547800,0.0,1762.0861020000002
2019-11-27,1801.0,1824.5,1798.095,1818.23,2747396,0.0,1762.0989020000002
2019-11-29,1817.78,1824.69,1800.79,1800.96,1674396,0.0,1761.6873020000005
2019-12-02,1801.17,1801.3572,1762.68,1781.61,3275256,0.0,1761.4217020000006
2019-12-03,1761.13,1772.87,1747.23,1770.33,3215969,0.0,1761.1425020000006
2019-12-04,1774.01,1789.0894,1760.2201,1760.48,2387073,0.0,1761.5053020000007
2019-12-05,1763.5,1763.5,1740.0,1740.48,2472575,0.0,1760.9533020000006
2019-12-06,1752.33,1754.4,1740.13,1751.59,2739956,0.0,1761.1827020000005
2019-12-09,1750.66,1766.8918,1745.61,1749.42,2123839,0.0,1761.6541020000004
2019-12-10,1747.4,1750.67,1735.0,1739.49,2186409,0.0,1761.7215020000006
2019-12-11,1741.67,1750.0,1735.7102,1748.9,1716841,0.0,1761.9773020000005
2019-12-12,1750.7,1764.0,1745.44,1760.18,2695799,0.0,1762.9163020000005
2019-12-13,1765.0,1768.99,1755.0,1760.93,2377943,0.0,1763.6499020000003
2019-12-16,1767.0,1769.5,1757.05,1769.21,2730112,0.0,1764.2461020000005
2019-12-17,1778.01,1792.0,1777.39,1790.66,3202975,0.0,1765.4093020000007
2019-12-18,1795.45,1798.2,1782.36,1782.36,2892613,0.0,1766.9515020000006
2019-12-19,1780.5,1792.99,1774.06,1792.29,1932754,0.0,1768.3615020000007
2019-12-20,1799.64,1802.97,1782.45,1786.57,3782377,0.0,1769.6817020000008
2019-12-23,1788.26,1793.0,1784.51,1793.0,1741287,0.0,1770.942102000001
2019-12-24,1793.81,1795.57,1787.575,1789.63,800738,0.0,1772.004702000001
2019-12-26,1801.2,1870.46,1799.5,1869.02,6125518,0.0,1774.038102000001
2019-12-27,1882.92,1901.4,1866.01,1869.26,5755838,0.0,1775.874902000001
2019-12-30,1874.0,1884.0,1840.62,1847.18,3444132,0.0,1777.0691020000006
2019-12-31,1841.99,1853.26,1832.23,1847.64,2138549,0.0,1778.8661020000009
